country,bartik_iv
Argentina,0.6020727464474347
Australia,0.7207807653567833
Austria,0.4135225137863352
Belarus,0.7474715016678002
Belgium,0.4573052730508074
Brazil,0.3020132690810795
Bulgaria,0.5855587420586901
Canada,0.43681211028236294
China,0.8426124378974158
Colombia,0.46428171564936993
Croatia,0.4745540793003037
Czechia,0.694618884506335
Denmark,0.35922336594472726
Ecuador,0.24532363462575826
Estonia,0.8565027405117747
Finland,0.3459225459583279
France,0.3319328207728415
Germany,0.5570816395518181
Greece,0.5006157494627421
Hong Kong,0.5719103165043754
Hungary,0.565517190324963
India,0.8203995389675757
Indonesia,0.7443281011850172
Ireland,0.501603146899802
Israel,0.7083168560492992
Italy,0.5457089858283953
Japan,0.6540455749242442
Kazakhstan,0.9204745728122277
Latvia,0.44985210874947035
Lithuania,0.5113997053699166
Luxembourg,0.4243660259256911
Malaysia,0.7075005613399948
Mexico,0.6165871579279867
Netherlands,0.5922238032496325
New Zealand,0.375343399675369
North Macedonia,0.6935035741885626
Norway,0.1783352065034609
Peru,0.4117729946384884
Philippines,0.6652821264674399
Poland,0.8087666045071543
Portugal,0.41700003753548803
Romania,0.5619800686264548
Russia,0.7226087573630252
Slovakia,0.5578140319936813
Slovenia,0.4342819234038298
South Africa,0.9701455933230128
South Korea,0.6433589446428136
Spain,0.4251393636224163
Sweden,0.1694491410455739
Switzerland,0.24082605589572165
Taiwan,0.7274436562986121
Thailand,0.6403361651256365
Turkey,0.6472234900617305
Ukraine,0.7337346929612056
United Kingdom,0.506342585729422
United States,0.5856328382262743
